date,ticker,sw_posts,tw_posts,sw_comments,tw_comments,sw_likes,tw_likes,sw_impressions,tw_impressions,sw_sent,tw_sent,datetime
2025-02-26 17:00:00,TSLA,211,230,54,9851,306,15404,363354,53570864,0.50417,0.49001,2025-02-26 17:00:00
2025-02-26 16:00:00,TSLA,197,648,26,14300,165,141708,119863,72784458,0.51901,0.5424,2025-02-26 16:00:00
2025-02-26 15:00:00,TSLA,241,760,22,10950,248,240547,226883,105510429,0.51336,0.49496,2025-02-26 15:00:00
2025-02-26 14:00:00,TSLA,99,150,1,141,85,7093,197726,31074916,0.52362,0.53231,2025-02-26 14:00:00
2025-02-26 13:00:00,TSLA,56,71,7,495,31,870,22252,2116515,0.50879,0.58177,2025-02-26 13:00:00
2025-02-26 12:00:00,TSLA,240,784,20,8738,180,185728,85479,86649823,0.51186,0.50998,2025-02-26 12:00:00
2025-02-26 11:00:00,TSLA,257,751,10,4711,168,150170,221726,44658500,0.51736,0.49853,2025-02-26 11:00:00
2025-02-26 10:00:00,TSLA,238,665,20,4791,177,134335,359846,302928701,0.52285,0.59884,2025-02-26 10:00:00
2025-02-26 09:00:00,TSLA,209,424,27,11820,135,47057,402555,100086211,0.53459,0.57223,2025-02-26 09:00:00
2025-02-26 08:00:00,TSLA,116,204,36,7949,143,20090,327604,59256084,0.52038,0.64247,2025-02-26 08:00:00
2025-02-26 07:00:00,TSLA,83,137,32,4025,84,7304,85586,6520760,0.52386,0.52745,2025-02-26 07:00:00
2025-02-26 06:00:00,TSLA,47,50,20,743,64,561,22486,1277024,0.487,0.47498,2025-02-26 06:00:00
2025-02-26 05:00:00,TSLA,39,135,20,1412,114,21354,14916,1644342,0.49438,0.61152,2025-02-26 05:00:00
2025-02-26 04:00:00,TSLA,51,158,14,1319,85,16926,72898,12742718,0.4911,0.4732,2025-02-26 04:00:00
2025-02-26 03:00:00,TSLA,39,90,9,262,26,2208,38871,1382587,0.52418,0.51128,2025-02-26 03:00:00
2025-02-26 02:00:00,TSLA,45,98,7,695,69,6040,66647,8850461,0.52307,0.55255,2025-02-26 02:00:00
2025-02-26 01:00:00,TSLA,45,68,17,980,85,3191,35793,1651189,0.49902,0.50183,2025-02-26 01:00:00
2025-02-26 00:00:00,TSLA,75,106,29,2003,100,5222,63969,2002992,0.52828,0.51502,2025-02-26 00:00:00
2025-02-25 23:00:00,TSLA,72,85,27,1641,124,3320,19665,1085994,0.50792,0.49317,2025-02-25 23:00:00
2025-02-25 22:00:00,TSLA,88,256,28,3564,150,45600,96742,30182651,0.52435,0.50527,2025-02-25 22:00:00
2025-02-25 21:00:00,TSLA,67,187,25,5144,143,30451,10089,1704145,0.50079,0.56314,2025-02-25 21:00:00
2025-02-25 20:00:00,TSLA,106,262,50,3478,177,46924,74899,23383342,0.5125,0.50263,2025-02-25 20:00:00
2025-02-25 19:00:00,TSLA,128,245,28,5241,218,40980,143696,40468275,0.52022,0.50126,2025-02-25 19:00:00
2025-02-25 18:00:00,TSLA,150,247,44,8925,215,33499,364187,129504492,0.5198,0.51824,2025-02-25 18:00:00
2025-02-25 17:00:00,TSLA,71,99,24,2084,75,3578,23259,1080284,0.51234,0.56638,2025-02-25 17:00:00
2025-02-25 16:00:00,TSLA,206,711,14,3632,239,234703,52678,15617632,0.51798,0.62741,2025-02-25 16:00:00
2025-02-25 15:00:00,TSLA,240,743,31,10584,203,189307,98642,54224233,0.52314,0.50466,2025-02-25 15:00:00
2025-02-25 14:00:00,TSLA,0,0,0,0,0,0,0,0,0.5,0.5,2025-02-25 14:00:00
2025-02-25 14:00:00,TSLA,108,320,0,0,95,36683,0,0,0.5,0.55358,2025-02-25 14:00:00
2025-02-25 13:00:00,TSLA,11,24,34,757,6,128,1568,37351,0.42118,0.43872,2025-02-25 13:00:00
2025-02-25 12:00:00,TSLA,116,220,13,2778,112,18684,64638,18169640,0.51157,0.6075,2025-02-25 12:00:00
2025-02-25 11:00:00,TSLA,240,737,19,14105,150,137742,85355,69118719,0.51784,0.52502,2025-02-25 11:00:00
2025-02-25 10:00:00,TSLA,241,660,11,7670,126,93149,180641,165437769,0.5218,0.594,2025-02-25 10:00:00
2025-02-25 09:00:00,TSLA,193,505,23,10343,185,100069,266259,144122259,0.523,0.50974,2025-02-25 09:00:00
2025-02-25 08:00:00,TSLA,121,227,27,4363,124,21070,245693,19456567,0.51542,0.4966,2025-02-25 08:00:00
2025-02-25 07:00:00,TSLA,64,103,29,2306,178,11199,19490,1379573,0.48345,0.48514,2025-02-25 07:00:00
2025-02-25 06:00:00,TSLA,62,94,19,1000,94,4896,16011,464188,0.49177,0.48,2025-02-25 06:00:00
2025-02-25 05:00:00,TSLA,31,105,8,217,56,8039,2585,254885,0.51961,0.63829,2025-02-25 05:00:00
2025-02-25 04:00:00,TSLA,32,104,9,924,101,13841,20228,1290107,0.50134,0.50354,2025-02-25 04:00:00
2025-02-25 03:00:00,TSLA,21,61,8,507,38,2765,316954,17636287,0.535,0.59935,2025-02-25 03:00:00
2025-02-25 02:00:00,TSLA,38,81,12,850,58,4095,19488,2335498,0.47442,0.49881,2025-02-25 02:00:00
2025-02-25 01:00:00,TSLA,33,67,14,641,102,5610,24745,1922953,0.54206,0.52238,2025-02-25 01:00:00
2025-02-25 00:00:00,TSLA,43,59,11,295,62,1703,12968,352447,0.48028,0.46911,2025-02-25 00:00:00
2025-02-24 23:00:00,TSLA,62,79,20,1705,124,3917,38805,4318661,0.49898,0.52529,2025-02-24 23:00:00
2025-02-24 22:00:00,TSLA,81,86,33,515,171,2508,21411,786649,0.52225,0.62984,2025-02-24 22:00:00
2025-02-24 21:00:00,TSLA,90,246,28,6673,140,38477,19699,4964557,0.53593,0.59915,2025-02-24 21:00:00
2025-02-24 20:00:00,TSLA,87,227,22,3959,181,43885,10152,1623716,0.51098,0.49563,2025-02-24 20:00:00
2025-02-24 19:00:00,TSLA,137,315,43,11494,261,77345,178183,55978123,0.52605,0.54642,2025-02-24 19:00:00
2025-02-24 18:00:00,TSLA,83,146,30,1347,160,16171,9353,1304668,0.54573,0.61106,2025-02-24 18:00:00
2025-02-24 17:00:00,TSLA,44,66,8,218,29,1053,20720,1704521,0.5102,0.5012,2025-02-24 17:00:00
